X0,S0,Pr0,Vr,Pr0_check,S_check,YXS_check,operation_total_time,operation_avg_batch,operation_batch_time,operation_num_batches,operation_stationary_start,OPEX_feed_X0,OEPX_feed_S0,OPEX_feed_Pr0,OPEX_utility_cooling,OPEX_utility_agitation,OPEX_total,Revenue_X,Revenue_P,Revenue_total,Profit
45.274954142917295,482.9573446474531,157.89425182663845,41137.45113638149,VALID,VALID,VALID,7884.0,211.39861322509722,6.9399999999998965,720.6581352833706,7.0799999999998935,6711115.2419,3579443.0477,7489502.5922,2041379.888,43206.137,19864646.9068,10604272.5982,19232030.1294,29836302.7276,9971655.8208
54.21926585811994,485.1227426838473,178.50096915236952,39441.21199986343,VALID,VALID,VALID,7884.0,211.39861322509722,7.059999999999894,712.8390596745096,7.4999999999998845,7621937.4053,3409835.1574,8029755.1338,1913385.052,41683.649,21016596.3982,10322750.3593,19226339.0340,29549089.3933,8532492.9950
50.192677723532,485.8503181052626,175.87630487234208,41444.13111352875,VALID,VALID,VALID,7884.0,211.39861322509722,6.969999999999896,718.687329079314,7.589999999999883,7475037.8623,3617808.1026,8381665.8373,2015132.035,43596.848,21533240.6866,10717864.3343,19232846.1552,29950710.4895,8417469.8029
45.23003634609737,471.725769665434,152.2365884678153,42223.3948926342,VALID,VALID,VALID,7884.0,211.39861322509722,6.689999999999902,737.5116931711948,6.8899999999998975,7042372.6219,3672414.3000,7585096.0595,2096315.485,43748.933,20439947.4005,10948721.3928,19222970.9101,30171692.3029,9731744.9024
49.70674668589467,464.3813699527768,169.03657829700546,43730.008341907655,VALID,VALID,VALID,7884.0,211.39861322509722,6.659999999999902,739.5872420262732,7.419999999999886,8038116.8433,3754773.7082,8747211.8872,2080378.811,45233.739,22665714.9898,11177613.0468,19237268.9741,30414882.0209,7749167.0311
50.67085734327059,481.3629277610655,152.33987076925237,40075.97318606915,VALID,VALID,VALID,7884.0,211.39861322509722,6.439999999999907,755.1724137931102,6.579999999999904,7667582.3884,3642024.3320,7376727.8244,2086221.865,40929.397,20813485.8079,11102035.3293,19220399.9871,30322435.3164,9508949.5085
47.3040866519562,482.20391525121835,170.55422825157544,41463.745033360276,VALID,VALID,VALID,7884.0,211.39861322509722,7.129999999999892,708.3557951482549,7.529999999999884,6946861.5326,3540712.9350,8014980.1259,1992411.673,43977.324,20538943.5907,10456447.0532,19232197.9443,29688644.9975,9149701.4067
53.46813672256623,461.6315431488001,150.59377749926705,40325.93985061185,VALID,VALID,VALID,7884.0,211.39861322509722,6.349999999999909,761.7391304347893,6.4699999999999065,8212130.0439,3545081.7039,7401466.4310,2031592.654,40962.248,21231233.0809,11033810.1900,19238351.1933,30272161.3834,9040928.3025
48.46824546984798,479.53475438473663,151.9847696982555,41581.570065387226,VALID,VALID,VALID,7884.0,211.39861322509722,6.379999999999908,759.537572254342,6.679999999999902,7653805.9794,3786258.3377,7680158.7699,2160256.034,42314.588,21322793.7095,11417082.6104,19228672.1752,30645754.7856,9322961.0761
54.6954841126076,463.2109440224634,153.7766858112514,40809.70155190297,VALID,VALID,VALID,7884.0,211.39861322509722,6.229999999999912,770.6744868035257,6.539999999999905,8601137.2056,3642111.3638,7738287.8394,2076726.137,41147.337,22099409.8835,11347419.8359,19237712.5321,30585132.3680,8485722.4845
49.485488855122114,485.5820307495626,157.58884421798817,43403.089108838714,VALID,VALID,VALID,7884.0,211.39861322509722,6.099999999999914,780.5940594059472,6.839999999999899,8382889.6938,4112903.2927,8542624.8615,2300517.657,43400.527,23382336.0334,12244811.1649,19226727.1886,31471538.3534,8089202.3201
50.07653218373603,484.1478471845382,170.22246983679182,42794.11928969329,VALID,VALID,VALID,7884.0,211.39861322509722,6.569999999999904,745.8845789971685,7.3599999999998875,7992082.7476,3863436.1127,8693458.6249,2140374.968,44039.297,22733391.7515,11424311.2494,19230433.5278,30654744.7772,7921353.0257
51.297744668961634,480.4991466509118,160.53024200079753,41500.413757392045,VALID,VALID,VALID,7884.0,211.39861322509722,6.399999999999908,758.0769230769298,6.899999999999897,8069265.0114,3779186.5677,8080580.2183,2134849.663,42282.920,22106164.3808,11431057.3190,19223978.0281,30655035.3472,8548870.9664
48.56494445517032,486.89925780602357,175.40614941986985,40128.67408584401,VALID,VALID,VALID,7884.0,211.39861322509722,7.369999999999887,693.4036939314053,7.649999999999881,6756687.9473,3387038.1030,7809185.8494,1908952.426,43065.326,19904929.6528,10032035.7527,19219789.3101,29251825.0629,9346895.4101
46.948470590569194,467.40702215647025,166.74432171521678,41663.6855623636,VALID,VALID,VALID,7884.0,211.39861322509722,7.199999999999891,703.9285714285783,7.459999999999885,6884584.4455,3427058.5111,7824512.9553,1937759.398,44344.327,20118259.6377,10201169.7073,19217958.2196,29419127.9269,9300868.2891
54.62545017410949,463.31290360875744,160.0016159323061,39530.73742002968,VALID,VALID,VALID,7884.0,211.39861322509722,6.679999999999902,738.202247191018,6.7999999999998995,7970311.8147,3380062.1302,7470585.3233,1928883.933,40936.059,20790779.2614,10509134.3032,19221725.3359,29730859.6392,8940080.3778
50.729473317011106,465.63301081062053,172.48295475463914,42042.58714041583,VALID,VALID,VALID,7884.0,211.39861322509722,6.959999999999896,719.3430656934374,7.509999999999884,7671068.3472,3520539.8530,8346255.2123,1966987.884,44203.232,21549054.5296,10570814.5244,19235288.5079,29806103.0323,8257048.5027
